,Factor1,Factor2,Factor3
temperature_c,-0.5465542656150573,0.12316388840419272,-0.007783466128672223
humidity,0.015202143916513818,0.03338044211556677,0.16120826991287282
rain_mm,-0.0479902010236033,0.1200801540293208,0.2171376729575477
wind_speed_kmh,0.13217838265585155,0.1699601975318845,0.263431199862241
visibility_m,-0.042100233576372104,0.2431526060947334,0.006655328883432829
vehicle_count,0.10250158254614834,0.17643287213885878,-0.058181507408262625
avg_speed_kmh,0.1942878328494356,0.3345274912872244,-0.15850878340781904
accident_count,0.07865606136853542,-0.1064405074043962,0.08559229759115977
